index,env_id,curr_pos,curr_capacity,possible_actions,action,reward,bl_action,bl_reward,done
0,0,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],5,8.917569160461426,6,2.2435171604156494,False
1,0,5,0.82,[1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1.],6,6.7272820472717285,5,6.281506538391113,False
2,0,6,0.46,[1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1.],7,9.049731254577637,7,4.871918201446533,False
3,0,7,0.1,[1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1.],0,0.0,0,0.0,False
4,0,0,1.0,[1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1.],2,17.632539749145508,8,15.89875602722168,False
5,0,2,0.54,[1. 1. 0. 1. 1. 0. 0. 0. 1. 1. 1.],8,1.4358398914337158,2,1.251604080200195,False
6,0,8,0.2,[1. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1.],4,8.798648834228516,4,9.07093334197998,False
7,0,4,0.1,[1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1.],0,0.0,0,0.0,False
8,0,0,1.0,[1. 1. 0. 1. 0. 0. 0. 0. 0. 1. 1.],9,30.83259010314941,1,22.78968811035156,False
9,0,9,0.83,[1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1.],3,5.507540702819824,10,25.093053817749023,False
10,0,3,0.57,[1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1.],1,50.9146614074707,3,22.604013442993164,False
11,0,1,0.39,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],10,25.093053817749023,9,5.764169692993164,True
12,0,1,0.67,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],2,20.33631896972656,2,20.33631896972656,True
13,0,0,1.0,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],5,5.919569969177246,10,28.042375564575195,True
500,1,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],7,11.903566360473633,4,2.869285345077514,False
501,1,7,0.71,[1. 1. 1. 1. 1. 1. 1. 0. 1. 1. 1.],9,11.214906692504885,8,3.5823254585266118,False
502,1,9,0.49,[1. 1. 1. 1. 1. 1. 1. 0. 1. 0. 1.],8,7.916730403900146,9,8.180679321289062,False
