test_reward,test_reward_std,best_reward,best_reward_std,best_epoch,loss,gradient_step,env_step,rew,bl_rew,len,n/ep,n/st,epoch
212.29897181,42.34577641141284,194.62133838,39.81184868200206,0,-354.0970322942734,66584,532679,208.12046512,139.22370325,26,10000,266495,2
203.89700524000003,41.93901248365994,194.62133838,39.81184868200206,0,-368.3087917327881,99800,798414,213.06449121,139.22370324999997,26,10000,265735,3
204.44876437,39.91443458094612,194.62133838,39.81184868200206,0,-374.772040271759,133110,1064894,203.4040058,139.22370324999997,26,10000,266480,4
196.1695218,40.42611572201589,194.62133838,39.81184868200206,0,-340.3835496711731,166355,1330854,205.10668725,139.22370325,26,10000,265960,5
214.89866646,40.86792049647948,194.62133838,39.81184868200206,0,-330.83406403064726,199619,1596971,196.76017867,139.22370325,26,10000,266117,6
200.82382853,40.62263787939556,194.62133838,39.81184868200206,0,-285.23399356842043,232912,1863321,215.34011741,139.22370325000003,26,10000,266350,7
225.56947223,40.07087244801877,194.62133838,39.81184868200206,0,-358.39833311080935,266202,2129642,201.16464645,139.22370325,26,10000,266321,8
206.57311305,40.91817278826532,194.62133838,39.81184868200206,0,-396.9954201602936,299505,2396072,225.79420096,139.22370324999997,26,10000,266430,9
232.0078512,41.248038185446575,194.62133838,39.81184868200206,0,-359.31870782971384,332799,2662425,207.02902519,139.22370325000003,26,10000,266353,10
202.28958897,40.47868728319519,194.62133838,39.81184868200206,0,-424.9807738113403,366094,2928792,233.17146911,139.22370325,26,10000,266367,11
199.18767751,39.02529243975482,194.62133838,39.81184868200206,0,-341.2635803318024,399387,3195139,202.96594622,139.22370325000003,26,10000,266347,12
201.62436716,40.25999608936215,194.62133838,39.81184868200206,0,-292.693151307106,432666,3461372,199.90907201,139.22370324999997,26,10000,266233,13
208.36193712,43.03624615084959,194.62133838,39.81184868200206,0,-343.10068657159803,465934,3727518,201.76719041,139.22370325000003,26,10000,266146,14
200.8124078,39.9214455362867,194.62133838,39.81184868200206,0,-284.8243589115143,499212,3993746,207.75229312,139.22370325,26,10000,266228,15
217.84306055,42.25398188007136,194.62133838,39.81184868200206,0,-435.8023257446289,532487,4259953,201.5705701,139.22370325000003,26,10000,266207,16
203.40313886,40.25250095392951,194.62133838,39.81184868200206,0,-273.65505090713503,565767,4526195,218.71229304,139.22370325,26,10000,266242,17
200.88585002,40.66293125199181,194.62133838,39.81184868200206,0,-321.116869392395,599044,4792411,203.73660912000005,139.22370325,26,10000,266216,18
197.36407691,39.81956460790133,194.62133838,39.81184868200206,0,-394.38879361152647,632325,5058660,200.92715815,139.22370325,26,10000,266249,19
208.44054735,42.96717897911217,194.62133838,39.81184868200206,0,-349.6247151565552,665607,5324923,197.93468483,139.22370325000003,26,10000,266263,20
205.99535751,41.38990627000071,194.62133838,39.81184868200206,0,-360.7768566226959,698883,5591132,208.84159546,139.22370324999997,26,10000,266209,21
197.34096299,39.7033555866949,194.62133838,39.81184868200206,0,-427.803832244873,732174,5857465,206.83680896,139.22370325000003,26,10000,266333,22
198.80750174,40.41756653087554,194.62133838,39.81184868200206,0,-303.076715335846,765465,6123794,197.59654459,139.22370325,26,10000,266329,23
196.44565196,40.7696012889969,194.62133838,39.81184868200206,0,-323.80742706775663,798737,6389974,199.32742135,139.22370325,26,10000,266180,24
200.13357651,39.71256572436688,194.62133838,39.81184868200206,0,-253.13416390895844,832022,6656260,197.4669113,139.22370325,26,10000,266286,25
198.69407976,40.17737701149166,194.62133838,39.81184868200206,0,-326.87111143112185,865293,6922431,200.19091363,139.22370325000003,26,10000,266171,26
201.05832371,39.286010760606,194.62133838,39.81184868200206,0,-355.4980324745178,898559,7188564,198.95735605,139.22370325000003,26,10000,266133,27
201.38852735,40.2530422180881,194.62133838,39.81184868200206,0,-364.7890012741089,931838,7454800,201.63449818,139.22370324999997,26,10000,266236,28
199.66578121,40.06837363391571,194.62133838,39.81184868200206,0,-290.0782232952118,965114,7721015,202.4820693,139.22370325,26,10000,266215,29
206.87611404,42.87084889766046,194.62133838,39.81184868200206,0,-393.4749098587036,998390,7987225,200.13922273000003,139.22370325,26,10000,266210,30
227.52272075,43.75790510592012,194.62133838,39.81184868200206,0,-287.1910844135284,1031666,8253433,207.83007831,139.22370325,26,10000,266208,31
223.87569423,43.721715075867,194.62133838,39.81184868200206,0,-613.7679193544387,1064989,8520018,227.92831347,139.22370325,26,10000,266585,32
231.67213253000003,46.40793689038728,194.62133838,39.81184868200206,0,-415.6284492111206,1098271,8786281,223.95660347000003,139.22370325,26,10000,266263,33
223.47202447,42.40153139630792,194.62133838,39.81184868200206,0,-651.2426306152344,1131578,9052740,232.02551664,139.22370325,26,10000,266459,34
211.31813894,41.66826846974136,194.62133838,39.81184868200206,0,-377.5065757846832,1164871,9319089,223.51307151,139.22370324999997,26,10000,266349,35
221.36012746,42.7275395514679,194.62133838,39.81184868200206,0,-440.8331916427612,1198154,9585353,211.66158008,139.22370325000003,26,10000,266264,36
214.11069449,41.88664122643656,194.62133838,39.81184868200206,0,-363.1506163406372,1231425,9851527,221.63775284,139.22370325,26,10000,266174,37
223.05885136,43.386923464284585,194.62133838,39.81184868200206,0,-528.9742771911621,1264715,10117849,214.89969669,139.22370325,26,10000,266322,38
199.16744682,39.15048407467205,194.62133838,39.81184868200206,0,-378.9275732040405,1297998,10384114,223.44771136,139.22370325000003,26,10000,266265,39
199.91705778,40.15072251277251,194.62133838,39.81184868200206,0,-368.0698118591309,1331279,10650364,199.90369977,139.22370325000003,26,10000,266250,40
195.14674634,40.19155855106063,194.62133838,39.81184868200206,0,-320.36032804489133,1364554,10916569,199.93931382,139.22370325000003,26,10000,266205,41
