test_reward,test_reward_std,best_reward,best_reward_std,best_epoch,loss,gradient_step,env_step,rew,bl_rew,len,n/ep,n/st,epoch
307.530418,47.4016909122246,307.530418,47.4016909122246,1,-114.518493862152,125,4026,306.580849,192.528076,40,100,4026,1
318.643301,56.4077368029023,307.530418,47.4016909122246,1,-141.08236448288,251,8058,304.941748,197.748094,40,100,4032,2
298.19904,56.3193805302011,298.19904,56.3193805302011,3,-258.184944877625,376,12077,318.281153,192.355529,40,100,4019,3
308.398699,46.6326316305471,298.19904,56.3193805302011,3,-223.80976231575,502,16118,301.358588,200.473383,40,100,4041,4
299.951091,62.5110488574925,298.19904,56.3193805302011,3,-330.758310317993,628,20154,297.106242,186.06628,40,100,4036,5
309.053308,57.9566082446733,298.19904,56.3193805302011,3,-280.040186843872,754,24189,297.593629,193.578617,40,100,4035,6
298.234259,54.1426497033385,298.19904,56.3193805302011,3,-337.143243522644,879,28216,298.014608,191.474124,40,100,4027,7
294.978145,56.2625287976525,294.978145,56.2625287976525,8,-381.578411560059,1004,32246,313.079423,197.694929,40,100,4030,8
306.226021,54.5821715547747,294.978145,56.2625287976525,8,-200.756520786285,1129,36265,287.862006,189.942551,40,100,4019,9
317.908043,56.8869532732581,294.978145,56.2625287976525,8,-295.628345375061,1254,40282,305.70007,193.907292,40,100,4017,10
294.879955,55.8585957508231,294.879955,55.8585957508231,11,-374.8725730896,1379,44303,304.936262,189.559053,40,100,4021,11
302.468142,56.8446301262365,294.879955,55.8585957508231,11,-287.694090194702,1504,48325,296.730957,194.24563,40,100,4022,12
306.161157,57.563523202989,294.879955,55.8585957508231,11,-394.356772613525,1630,52362,299.613471,189.347403,40,100,4037,13
320.351358,56.592735665559,294.879955,55.8585957508231,11,-423.219609680176,1755,56386,317.348647,196.828153,40,100,4024,14
312.02436,53.4491311991804,294.879955,55.8585957508231,11,-396.242713241577,1880,60408,316.165172,198.383376,40,100,4022,15
308.263152,48.4014344742209,294.879955,55.8585957508231,11,-396.93354675293,2005,64429,318.698019,200.295927,40,100,4021,16
314.469258,55.1778077163495,294.879955,55.8585957508231,11,-411.841235046387,2130,68441,310.113684,192.516351,40,100,4012,17
297.719222,51.3690637416755,294.879955,55.8585957508231,11,-364.938946304321,2256,72473,313.627154,196.305375,40,100,4032,18
305.292816,45.4809417329561,294.879955,55.8585957508231,11,-295.157008552551,2382,76510,312.95144,203.662869,40,100,4037,19
315.360863,58.5417752644821,294.879955,55.8585957508231,11,-441.096295166016,2507,80530,322.052971,193.772234,40,100,4020,20
