Day,Time,Time_Tag,Delay
Sun,0:00,0,7%
Sun,1:00,1,5%
Sun,2:00,2,4%
Sun,3:00,3,3%
Sun,4:00,4,2%
Sun,5:00,5,1%
Sun,6:00,6,1%
Sun,7:00,7,3%
Sun,8:00,8,5%
Sun,9:00,9,9%
Sun,10:00,10,13%
Sun,11:00,11,19%
Sun,12:00,12,22%
Sun,13:00,13,23%
Sun,14:00,14,23%
Sun,15:00,15,22%
Sun,16:00,16,20%
Sun,17:00,17,22%
Sun,18:00,18,22%
Sun,19:00,19,19%
Sun,20:00,20,15%
Sun,21:00,21,11%
Sun,22:00,22,9%
Sun,23:00,23,7%
Mon,0:00,0,5%
Mon,1:00,1,5%
Mon,2:00,2,4%
Mon,3:00,3,3%
Mon,4:00,4,1%
Mon,5:00,5,7%
Mon,6:00,6,22%
Mon,7:00,7,36%
Mon,8:00,8,40%
Mon,9:00,9,34%
Mon,10:00,10,31%
Mon,11:00,11,32%
Mon,12:00,12,34%
Mon,13:00,13,36%
Mon,14:00,14,41%
Mon,15:00,15,50%
Mon,16:00,16,49%
Mon,17:00,17,37%
Mon,18:00,18,29%
Mon,19:00,19,20%
Mon,20:00,20,14%
Mon,21:00,21,12%
Mon,22:00,22,10%
Mon,23:00,23,7%
Tues,0:00,0,6%
Tues,1:00,1,5%
Tues,2:00,2,5%
Tues,3:00,3,4%
Tues,4:00,4,2%
Tues,5:00,5,7%
Tues,6:00,6,22%
Tues,7:00,7,36%
Tues,8:00,8,41%
Tues,9:00,9,36%
Tues,10:00,10,33%
Tues,11:00,11,34%
Tues,12:00,12,35%
Tues,13:00,13,37%
Tues,14:00,14,43%
Tues,15:00,15,52%
Tues,16:00,16,51%
Tues,17:00,17,40%
Tues,18:00,18,31%
Tues,19:00,19,20%
Tues,20:00,20,14%
Tues,21:00,21,11%
Tues,22:00,22,10%
Tues,23:00,23,7%
Wed,0:00,0,5%
Wed,1:00,1,5%
Wed,2:00,2,5%
Wed,3:00,3,4%
Wed,4:00,4,2%
Wed,5:00,5,7%
Wed,6:00,6,21%
Wed,7:00,7,33%
Wed,8:00,8,39%
Wed,9:00,9,35%
Wed,10:00,10,33%
Wed,11:00,11,34%
Wed,12:00,12,36%
Wed,13:00,13,38%
Wed,14:00,14,44%
Wed,15:00,15,54%
Wed,16:00,16,51%
Wed,17:00,17,41%
Wed,18:00,18,32%
Wed,19:00,19,21%
Wed,20:00,20,15%
Wed,21:00,21,12%
Wed,22:00,22,10%
Wed,23:00,23,7%
Thurs,0:00,0,5%
Thurs,1:00,1,5%
Thurs,2:00,2,5%
Thurs,3:00,3,4%
Thurs,4:00,4,1%
Thurs,5:00,5,7%
Thurs,6:00,6,20%
Thurs,7:00,7,32%
Thurs,8:00,8,38%
Thurs,9:00,9,35%
Thurs,10:00,10,34%
Thurs,11:00,11,35%
Thurs,12:00,12,36%
Thurs,13:00,13,38%
Thurs,14:00,14,45%
Thurs,15:00,15,55%
Thurs,16:00,16,55%
Thurs,17:00,17,44%
Thurs,18:00,18,35%
Thurs,19:00,19,23%
Thurs,20:00,20,15%
Thurs,21:00,21,12%
Thurs,22:00,22,10%
Thurs,23:00,23,8%
Fri,0:00,0,6%
Fri,1:00,1,5%
Fri,2:00,2,4%
Fri,3:00,3,3%
Fri,4:00,4,1%
Fri,5:00,5,5%
Fri,6:00,6,16%
Fri,7:00,7,26%
Fri,8:00,8,29%
Fri,9:00,9,30%
Fri,10:00,10,32%
Fri,11:00,11,35%
Fri,12:00,12,41%
Fri,13:00,13,47%
Fri,14:00,14,55%
Fri,15:00,15,55%
Fri,16:00,16,45%
Fri,17:00,17,35%
Fri,18:00,18,29%
Fri,19:00,19,22%
Fri,20:00,20,17%
Fri,21:00,21,14%
Fri,22:00,22,13%
Fri,23:00,23,10%
Sat,0:00,0,7%
Sat,1:00,1,5%
Sat,2:00,2,4%
Sat,3:00,3,3%
Sat,4:00,4,2%
Sat,5:00,5,3%
Sat,6:00,6,3%
Sat,7:00,7,5%
Sat,8:00,8,8%
Sat,9:00,9,14%
Sat,10:00,10,20%
Sat,11:00,11,26%
Sat,12:00,12,28%
Sat,13:00,13,30%
Sat,14:00,14,31%
Sat,15:00,15,29%
Sat,16:00,16,25%
Sat,17:00,17,24%
Sat,18:00,18,24%
Sat,19:00,19,19%
Sat,20:00,20,16%
Sat,21:00,21,14%
Sat,22:00,22,13%
Sat,23:00,23,10%
